year,destination,gap_denominator_A_minus_B,raw_n,raw_probability,raw_CI_lo,raw_CI_hi,std_probability,std_CI_lo,std_CI_hi,std_variance,effective_weight_sum
1999,CIRCULATORY,1303,566,0.43438219493476593,0.407700270485802,0.46144988629426226,0.41446508442376095,0.38722435108031295,0.44170581776720896,0.00019316366958789017,1.0
1999,DIABETES_NUTRITIONAL,1303,47,0.03607060629316961,0.02723311617447637,0.04763553614773199,0.0371115461561087,0.02621543461002852,0.04800765770218887,3.090515587896235e-05,1.0
1999,DIGESTIVE_OTHER,1303,57,0.043745203376822715,0.03391664888548696,0.05625607866712323,0.053671466038774165,0.03976837059697398,0.06757456148057435,5.031655114114039e-05,1.0
1999,EXTERNAL,1303,26,0.019953952417498082,0.013653016637749043,0.029077077700615444,0.020919819922184786,0.012505694517334909,0.029333945327034663,1.8429171784813644e-05,1.0
1999,INFECTIOUS_PARASITIC,1303,70,0.05372217958557176,0.04273955951564444,0.06732846583648817,0.055754817742093385,0.042307613634369745,0.06920202184981702,4.707082942388055e-05,1.0
1999,NEOPLASMS,1303,191,0.14658480429777437,0.12841940352184375,0.16682793211815122,0.15374921437709804,0.13281962716194934,0.17467880159224675,0.00011402738988872234,1.0
1999,OTHER,1303,238,0.18265541059094398,0.162618861336819,0.20455762788606466,0.1816280383363244,0.1596804724986594,0.2035756041739894,0.0001253893289771552,1.0
1999,OTHER_GALLBLADDER_BILIARY,1303,19,0.014581734458940905,0.009354751433429835,0.02266249024365336,0.014084712268830919,0.007524617061106437,0.0206448074765554,1.1202324326949634e-05,1.0
1999,RESPIRATORY,1303,89,0.06830391404451266,0.055836962465161975,0.08330880582473414,0.06861530073482464,0.054499593529444765,0.0827310079402045,5.186724018846656e-05,1.0
2000,CIRCULATORY,1243,565,0.45454545454545453,0.42704690097826065,0.4823240946679065,0.4402737302257611,0.4119350185560072,0.468612441895515,0.00020904898456409928,1.0
2000,DIABETES_NUTRITIONAL,1243,47,0.03781174577634755,0.02855307744715657,0.0499183738576757,0.03996752978450985,0.028316256512886377,0.05161880305613332,3.5337403386622124e-05,1.0
2000,DIGESTIVE_OTHER,1243,49,0.039420756234915526,0.02994577589810177,0.051733781755538735,0.04509206569715221,0.03251954961231915,0.057664581781985275,4.1146439166853954e-05,1.0
2000,EXTERNAL,1243,22,0.017699115044247787,0.011716926926045918,0.026653195018683316,0.018136959390856976,0.01036485886869613,0.025909059913017823,1.572405938321869e-05,1.0
2000,INFECTIOUS_PARASITIC,1243,66,0.05309734513274336,0.04195225105987273,0.06699621055863783,0.05545965900314368,0.04214132629896507,0.0687779917073223,4.617294513202666e-05,1.0
2000,NEOPLASMS,1243,162,0.13032984714400644,0.11274701661083293,0.1501905497504733,0.13987328510577143,0.11921409760855671,0.16053247260298614,0.00011110006977433185,1.0
