analysis,year,stratum,A_records,B_records,UCF,CI_lo,CI_hi,note
multi_label_sensitivity,2020,K80.0,109,88,0.8073394495412844,0.7233607358661399,0.8703926655894677,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2020,K80.8,1,1,1.0,0.20654931437723742,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2021,1,1973,1122,0.5686771414090218,0.5467111386827382,0.5903762330894361,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2021,2,56,45,0.8035714285714286,0.681553923735416,0.8866140432567634,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2021,3+,5,5,1.0,0.5655175352168252,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2021,K80.2,1017,458,0.4503441494591937,0.42001028628175574,0.4810517257208935,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2021,K80.5,412,245,0.5946601941747572,0.5465900005936833,0.6409814845131748,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2021,K80.4,94,77,0.8191489361702128,0.7293303791966496,0.8839065933832155,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2021,K80.1,266,174,0.6541353383458647,0.5951467336392187,0.7087354064825032,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2021,K80.3,179,159,0.888268156424581,0.8337241037909872,0.9264973519802236,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2021,K80.0,129,112,0.8682170542635659,0.7990710311857546,0.9160671556677071,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2021,K80.8,3,2,0.6666666666666666,0.20765960080204768,0.9385080552796037,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2022,1,2136,1179,0.5519662921348315,0.530802582863945,0.572943420880813,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2022,2,67,48,0.7164179104477612,0.599067617155195,0.8102971881828981,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2022,3+,2,2,1.0,0.3423802275066531,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2022,K80.2,1096,509,0.46441605839416056,0.4350653110533279,0.49401537655447003,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2022,K80.3,159,133,0.8364779874213837,0.7711842443948407,0.8858965799535734,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2022,K80.0,285,198,0.6947368421052632,0.638975116873092,0.7453187461104286,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2022,K80.1,145,87,0.6,0.5186737027335637,0.6761644843533797,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2022,K80.5,485,269,0.554639175257732,0.5101496542990377,0.5982699550521411,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2022,K80.4,106,85,0.8018867924528302,0.7160468923505877,0.8666110647371271,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2023,1,2001,1078,0.5387306346826587,0.516835469570432,0.5604773769482028,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2023,2,50,33,0.66,0.5215382605023261,0.7756305077749992,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2023,3+,6,6,1.0,0.6096657120978346,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2023,K80.2,1023,442,0.43206256109481916,0.4020172335088188,0.46261620254309277,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2023,K80.4,108,81,0.75,0.6607046489100945,0.8221216712166269,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2023,K80.3,180,154,0.8555555555555555,0.7967697562121162,0.8994823341547366,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2023,K80.5,481,248,0.5155925155925156,0.4709844841800512,0.5599534641473987,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2023,K80.0,177,142,0.8022598870056498,0.7374350033255157,0.8542434795719898,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2023,K80.1,150,95,0.6333333333333333,0.5537823804885078,0.7062255543466717,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2024,1,2014,1130,0.5610724925521351,0.539303293627749,0.5826091583761722,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2024,2,50,30,0.6,0.46181437747589366,0.7239161026974346,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2024,3+,1,1,1.0,0.20654931437723742,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2024,K80.2,1014,448,0.4418145956607495,0.4115251546428497,0.4725432344197074,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2024,K80.5,508,284,0.5590551181102362,0.5155966064796962,0.6016271919563326,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2024,K80.3,158,137,0.8670886075949367,0.8053528677555306,0.9113979626266747,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2024,K80.1,158,113,0.7151898734177216,0.6403616917009567,0.7798025881782672,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2024,K80.4,99,76,0.7676767676767676,0.6754474972079758,0.8399088640082378,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2024,K80.0,176,132,0.75,0.6811495957232009,0.8081702784429553,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2024,K80.8,4,3,0.75,0.3006418425824019,0.9544127391902995,multilabel subtype rows are non-mutually-exclusive; do not sum
