group,UCF_change_2024_minus_1999,composition_component,selection_component,decomposition_residual
subtype,0.10491814851156656,0.05314759114861436,0.05177055736295218,2.0816681711721685e-17
severity,0.10491814851156656,0.026947969821420836,0.07797017869014572,0.0
entity_part,0.10491814851156656,0.0831312001254449,0.021786948386121725,-7.632783294297951e-17
complexity,0.10491814851156656,-0.040982331677013664,0.14590048018858018,2.7755575615628914e-17
