analysis_id,analysis_label,mention_axis,code_set,denominator_definition,numerator_definition,standardization,standard_weight_definition,ci_method,estimate_1999,ci_lower_1999,ci_upper_1999,estimate_2024,ci_lower_2024,ci_upper_2024,rd_2024_minus_1999,rd_ci_lower,rd_ci_upper,A_1999,B_1999,A_2024,B_2024,weight_sum,input_sha256,source_binding,execution_status
ROBUST-01,Primary current definition,record axis,K80,resident deaths with ≥1 record-axis K80 code,denominator deaths whose UCD is K80,fixed direct age×sex standardization,2018-2024 pooled record-axis K80 mention age×sex distribution; cells require positive A in every 1999-2024 year,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.45654027259504626,0.436077108785786,0.47700343640430654,0.5611901794877248,0.5399790377077649,0.5824013212676846,0.1046499068926785,0.07517697679242921,0.1341228369929278,2401,1098,2065,1161,1.0,03d9019bd354f72e77d524f40d8033110cbc0b8c8c293a33f191a7583dd4a356,current final aggregate + current final standardization tables + same-version raw NCHS bundle,PASS
ROBUST-02,A-prime crude denominator sensitivity,record axis plus UCD union,K80,resident deaths with record-axis K80 OR UCD K80 (A′),denominator deaths whose official UCD is K80,crude (not standardized),not applicable; annual A′ denominator,Wilson 95% CI for annual proportions; independent-year binomial normal 95% CI for RD,0.4577611319184353,0.43792412730757574,0.47773297285223537,0.5622276029055691,0.5407334631605646,0.5834906437019425,0.10446647098713374,0.07523128899780585,0.13370165297646164,2403,1100,2065,1161,,95da549c385ae125a47fad46097c5d349719b81528a8e5e79e6d9033c2945cd8,current final aggregate,PASS
ROBUST-03,Entity-axis K80 sensitivity,entity axis,K80,resident deaths with ≥1 entity-axis K80 code,denominator deaths whose UCD is K80,fixed direct age×sex standardization,2018-2024 pooled entity-axis K80 mention age×sex distribution; cells require positive A in every 1999-2024 year,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.4560568361926471,0.43562465996338506,0.4764890124219091,0.5600684819869411,0.5388671895673064,0.5812697744065759,0.10401164579429406,0.07456731483353896,0.13345597675504917,2409,1100,2069,1161,1.0,a0c956cc860e7cd4e147c051fa39f709f7092eb7dfe73e03d1bc90e8056cb94c,same-version raw NCHS bundle rescanned with current candidate parser,PASS
ROBUST-04,Expanded biliary-code sensitivity,record axis,K80-K83,resident deaths with ≥1 record-axis K80-K83 code,denominator deaths whose UCD is K80-K83,fixed direct age×sex standardization,2018-2024 pooled record-axis K80-K83 mention age×sex distribution; cells require positive A in every 1999-2024 year,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.4247166320242837,0.4141383166596317,0.43529494738893576,0.4705601211977489,0.46228071935468795,0.4788395230408099,0.0458434891734652,0.032410349152125636,0.05927662919480477,8704,3734,13565,6351,1.0,a0c956cc860e7cd4e147c051fa39f709f7092eb7dfe73e03d1bc90e8056cb94c,same-version raw NCHS bundle rescanned with current candidate parser,PASS
ROBUST-05,Age ≥25 years,record axis,K80,resident deaths aged ≥25 with ≥1 record-axis K80 code,denominator deaths whose UCD is K80,fixed direct age×sex standardization within age restriction,current primary 2018-2024 pooled record-axis K80 age×sex weights restricted to eligible ages and renormalized once,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.45639683092877736,0.4359034036581502,0.4768902581994045,0.5604822660132605,0.5392369051881176,0.5817276268384033,0.10408543508448309,0.074566866049264,0.1336040041197022,2371,1080,2062,1159,1.0,03d9019bd354f72e77d524f40d8033110cbc0b8c8c293a33f191a7583dd4a356,same-version raw NCHS bundle + current final primary weights,PASS
ROBUST-06,Age ≥65 years,record axis,K80,resident deaths aged ≥65 with ≥1 record-axis K80 code,denominator deaths whose UCD is K80,fixed direct age×sex standardization within age restriction,current primary 2018-2024 pooled record-axis K80 age×sex weights restricted to eligible ages and renormalized once,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.45519807306959115,0.4331634923523261,0.4772326537868562,0.5860747848851836,0.562785314085207,0.6093642556851602,0.13087671181559246,0.0988154860509928,0.16293793758019212,2028,921,1713,1005,1.0,03d9019bd354f72e77d524f40d8033110cbc0b8c8c293a33f191a7583dd4a356,same-version raw NCHS bundle + current final primary weights,PASS
ROBUST-07,1999 standard population,record axis,K80,resident deaths with ≥1 record-axis K80 code,denominator deaths whose UCD is K80,fixed direct age×sex standardization,1999 record-axis K80 mention age×sex distribution; cells require positive A in every 1999-2024 year,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.45633096531550355,0.43641430646645624,0.47624762416455085,0.5713155376661703,0.5500465599413172,0.5925845153910233,0.11498457235066672,0.08584623483512496,0.1441229098662085,2401,1098,2065,1161,1.0,03d9019bd354f72e77d524f40d8033110cbc0b8c8c293a33f191a7583dd4a356,current final aggregate + current final standardization tables + same-version raw NCHS bundle,PASS
ROBUST-08,Full-period standard population,record axis,K80,resident deaths with ≥1 record-axis K80 code,denominator deaths whose UCD is K80,fixed direct age×sex standardization,1999-2024 pooled record-axis K80 mention age×sex distribution; cells require positive A in every 1999-2024 year,"within-cell binomial variance; independent-year normal 95% CI; limits for proportions clipped to [0,1]",0.45720390797630234,0.43704239842943504,0.47736541752316963,0.5645173895117085,0.5433268936636797,0.5857078853597373,0.10731348153540615,0.07806414681658315,0.13656281625422917,2401,1098,2065,1161,1.0,03d9019bd354f72e77d524f40d8033110cbc0b8c8c293a33f191a7583dd4a356,current final aggregate + current final standardization tables + same-version raw NCHS bundle,PASS
