destination,bootstrap_reps,seed,std_probability_1999_point,std_probability_2024_point,RD_2024_minus_1999_point,nominal_ci_lo_frozen,nominal_ci_hi_frozen,bootstrap_percentile_ci_lo,bootstrap_percentile_ci_hi,bootstrap_se,normal_reference_two_sided_p,bh_fdr_q,simultaneous_95_ci_lo,simultaneous_95_ci_hi,simultaneous_excludes_zero,max_t_critical_95,covariance_row_sum,covariance_column_sum,point_estimate_abs_difference_frozen,inference_note,covariance_CIRCULATORY,covariance_DIABETES_NUTRITIONAL,covariance_DIGESTIVE_OTHER,covariance_EXTERNAL,covariance_INFECTIOUS_PARASITIC,covariance_NEOPLASMS,covariance_OTHER,covariance_OTHER_GALLBLADDER_BILIARY,covariance_RESPIRATORY
CIRCULATORY,100000,20260823,0.41446508442376095,0.23115532010980272,-0.18330976431395823,-0.2219692661697993,-0.14465026245811716,-0.2217479953124466,-0.14462911909631565,0.019644063294084576,1.043234937886807e-20,9.389114440981263e-20,-0.2376816166640607,-0.12893791196385576,True,2.767851616853398,-6.098637220230962e-20,-1.0164395367051604e-19,0.0,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,0.000385889222702001,-2.4091558949439586e-05,-3.6904703678181185e-05,-1.286314693552213e-05,-3.296347483983869e-05,-9.414091013115949e-05,-0.00013313568800810258,-1.1298870613881671e-05,-4.0490869545875754e-05
DIABETES_NUTRITIONAL,100000,20260823,0.0371115461561087,0.050514692257134376,0.013403146101025679,-0.00453877824432276,0.03134507044637412,-0.004343407735884744,0.031565955999678964,0.00916750618554754,0.14373367562076697,0.29528480805076407,-0.011971150717155606,0.03877744291920696,False,2.767851616853398,1.5246593050577406e-20,1.5246593050577406e-20,0.0,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-2.4091558949439586e-05,8.404316966205239e-05,-6.971398110497819e-06,-2.3487762187386244e-06,-4.5241078985503835e-06,-1.6140114278611183e-05,-2.2577842511915567e-05,-1.946075246360204e-06,-5.443296447939005e-06
DIGESTIVE_OTHER,100000,20260823,0.053671466038774165,0.0822640128023704,0.028592546763596238,0.006169286688960225,0.051015806838232224,0.006240678873207247,0.05099838797076762,0.011410196133945318,0.012214814243226334,0.036644442729679004,-0.0029891830543586975,0.060174276581551174,False,2.767851616853398,-3.049318610115481e-20,-3.8963515573697816e-20,1.3877787807814457e-17,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-3.6904703678181185e-05,-6.971398110497819e-06,0.00013019257581510068,-5.923601286398568e-06,-8.951857068301744e-06,-2.7425089398340397e-05,-3.3893262872871354e-05,-1.7290989174191277e-06,-8.393564483090522e-06
EXTERNAL,100000,20260823,0.020919819922184786,0.027360779964846545,0.006440960042661759,-0.006890392707614048,0.019772312792937556,-0.006813965228125613,0.019927534256705706,0.006796945912870177,0.3433200818351468,0.4414115337880459,-0.012371977691941056,0.025253897777264573,False,2.767851616853398,2.964615315390051e-21,0.0,3.469446951953614e-18,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-1.286314693552213e-05,-2.3487762187386244e-06,-5.923601286398568e-06,4.61984737424826e-05,-2.416449573902667e-06,-9.096321626262526e-06,-1.0316853014761337e-05,-5.196848370083531e-07,-2.7136402498883944e-06
INFECTIOUS_PARASITIC,100000,20260823,0.055754817742093385,0.055797542761774975,4.272501968159009e-05,-0.02003130211415611,0.02011675215351929,-0.020006384953136884,0.020195163333102555,0.01026669793214547,0.9966796008420364,0.9966796008420364,-0.028373971451552685,0.028459421490915866,False,2.767851616853398,8.809142651444724e-20,9.317362419797304e-20,0.0,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-3.296347483983869e-05,-4.5241078985503835e-06,-8.951857068301744e-06,-2.416449573902667e-06,0.00010540508642992009,-1.8528716694872763e-05,-2.865129413139443e-05,-2.0843307942283815e-06,-7.28485542883094e-06
NEOPLASMS,100000,20260823,0.15374921437709804,0.17372585128242218,0.01997663690532414,-0.012434618422395946,0.05238789223304417,-0.01232903358039357,0.05247615007672827,0.016526193424761998,0.226744939923227,0.3401174098848405,-0.02576541428583535,0.06571868809648362,False,2.767851616853398,5.658180087658726e-19,5.116079001415974e-19,2.7755575615628914e-17,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-9.414091013115949e-05,-1.6140114278611183e-05,-2.7425089398340397e-05,-9.096321626262526e-06,-1.8528716694872763e-05,0.00027311506911264664,-7.973578330482161e-05,-5.861655578505833e-06,-2.2186478100072306e-05
OTHER,100000,20260823,0.18162803833632438,0.29052724418941966,0.10889920585309529,0.07212381840756829,0.14567459329862234,0.07207222877322826,0.14561154878946025,0.018706579571113748,5.834321188082611e-09,2.625444534637175e-08,0.05712216934139136,0.16067624236479922,True,2.767851616853398,-4.472333961502706e-19,-4.472333961502706e-19,2.7755575615628914e-17,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-0.00013313568800810258,-2.2577842511915567e-05,-3.3893262872871354e-05,-1.0316853014761337e-05,-2.865129413139443e-05,-7.973578330482161e-05,0.0003499361192504102,-9.482605616194644e-06,-3.214278979034913e-05
OTHER_GALLBLADDER_BILIARY,100000,20260823,0.01408471226883092,0.02236473259452703,0.00828002032569611,-0.0033868021143974754,0.0199468427657897,-0.003166858546686741,0.020235966994995126,0.005950050425234361,0.16404711558375784,0.29528480805076407,-0.008188836364148066,0.024748877015540287,False,2.767851616853398,3.7692966152816365e-20,3.7692966152816365e-20,1.734723475976807e-18,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-1.1298870613881671e-05,-1.946075246360204e-06,-1.7290989174191277e-06,-5.196848370083531e-07,-2.0843307942283815e-06,-5.861655578505833e-06,-9.482605616194644e-06,3.5403100062831596e-05,-2.48077845923334e-06
RESPIRATORY,100000,20260823,0.06861530073482464,0.0662898240377021,-0.0023254766971225332,-0.023927022347937952,0.019276068953692885,-0.023786950958656565,0.019340591999612487,0.011006192461758947,0.832662524605554,0.9367453401812482,-0.032788984297801714,0.028138030903556648,False,2.767851616853398,6.776263578034403e-20,6.776263578034403e-20,0.0,Joint stratified multinomial bootstrap preserves nine-category compositional dependence; 95% FWER max-t interval across all nine destination RDs. Nominal frozen CI is retained separately and is not used for category selection.,-4.0490869545875754e-05,-5.443296447939005e-06,-8.393564483090522e-06,-2.7136402498883944e-06,-7.28485542883094e-06,-2.2186478100072306e-05,-3.214278979034913e-05,-2.48077845923334e-06,0.00012113627250527946
