group,bootstrap_reps,seed,n_1999,n_2024,crude_change_point,composition_point,composition_bootstrap_se,composition_percentile_ci_lo,composition_percentile_ci_hi,within_stratum_point,within_stratum_bootstrap_se,within_stratum_percentile_ci_lo,within_stratum_percentile_ci_hi,component_covariance,component_correlation,component_sum_point,component_sum_bootstrap_se,component_sum_percentile_ci_lo,component_sum_percentile_ci_hi,point_closure_residual,bootstrap_closure_mean_residual,bootstrap_closure_max_abs_residual,frozen_point_max_abs_difference,method
subtype,100000,20260823,2401,2065,0.10491814851156656,0.05314759114861436,0.006003156940135765,0.04149790955043691,0.06501498975028144,0.05177055736295218,0.014940732855522243,0.022661070920354437,0.08111222627329148,-1.8780489929605118e-05,-0.20938970249079283,0.10491814851156653,0.014889674665645714,0.0758426926633677,0.1341107871720117,2.0816681711721685e-17,-2.5709642748061866e-18,1.8041124150158794e-16,0.0,"Endpoint-year joint multinomial bootstrap over (stratum, UCD-K80 status); symmetric Kitagawa re-estimated jointly each replicate; percentile 95% CI."
severity,100000,20260823,2401,2065,0.10491814851156656,0.026947969821420836,0.0042431186715599385,0.01870204778639372,0.035342367107185545,0.07797017869014572,0.014469695179391742,0.04982639544165641,0.10632813274778431,-3.3165577571769953e-06,-0.05401856018129932,0.10491814851156656,0.014857423031303215,0.07577330067274232,0.13397525042531716,0.0,-6.945225644594544e-19,1.6653345369377348e-16,0.0,"Endpoint-year joint multinomial bootstrap over (stratum, UCD-K80 status); symmetric Kitagawa re-estimated jointly each replicate; percentile 95% CI."
entity_part,100000,20260823,2401,2065,0.10491814851156656,0.0831312001254449,0.011748914695300589,0.060083548813814364,0.10627733156559575,0.021786948386121725,0.00928548883736867,0.0037475616449084135,0.040068580271471706,-1.3917908186899159e-06,-0.012757672358264723,0.10491814851156664,0.014881993073139381,0.0757829364883276,0.13406137273311253,-7.632783294297951e-17,5.442585130407268e-19,2.3592239273284576e-16,0.0,"Endpoint-year joint multinomial bootstrap over (stratum, UCD-K80 status); symmetric Kitagawa re-estimated jointly each replicate; percentile 95% CI."
complexity,100000,20260823,2401,2065,0.10491814851156656,-0.040982331677013664,0.0053545108670651,-0.05165570364795165,-0.03064962183300014,0.14590048018858018,0.014294767238478131,0.117905230998019,0.17389180932620232,-5.388084942080176e-06,-0.07039430754497093,0.10491814851156651,0.014907547992330112,0.07568739014111359,0.1341009042842318,2.7755575615628914e-17,-1.9491352976075403e-18,1.942890293094024e-16,0.0,"Endpoint-year joint multinomial bootstrap over (stratum, UCD-K80 status); symmetric Kitagawa re-estimated jointly each replicate; percentile 95% CI."
