year,destination,ucd,raw_n,gap_denominator,raw_probability
2000,OTHER,E780,2,1243,0.0016090104585679806
2000,OTHER,E781,2,1243,0.0016090104585679806
2000,OTHER,E785,2,1243,0.0016090104585679806
2000,OTHER,E831,2,1243,0.0016090104585679806
2000,OTHER,E848,2,1243,0.0016090104585679806
2000,OTHER,E86,1,1243,0.0008045052292839903
2000,OTHER,E872,1,1243,0.0008045052292839903
2000,OTHER,E878,1,1243,0.0008045052292839903
2000,OTHER,E889,1,1243,0.0008045052292839903
2000,OTHER,F03,8,1243,0.006436041834271922
2000,OTHER,F107,1,1243,0.0008045052292839903
2000,OTHER,F109,1,1243,0.0008045052292839903
2000,OTHER,F453,1,1243,0.0008045052292839903
2000,OTHER,G122,2,1243,0.0016090104585679806
2000,OTHER,G20,4,1243,0.003218020917135961
2000,OTHER,G301,2,1243,0.0016090104585679806
2000,OTHER,G309,17,1243,0.013676588897827836
2000,OTHER,G35,3,1243,0.002413515687851971
2000,OTHER,G372,1,1243,0.0008045052292839903
2000,OTHER,G610,1,1243,0.0008045052292839903
2000,OTHER,G700,1,1243,0.0008045052292839903
2000,OTHER,G712,1,1243,0.0008045052292839903
2000,OTHER,G819,1,1243,0.0008045052292839903
2000,OTHER,G919,1,1243,0.0008045052292839903
2000,OTHER,G92,1,1243,0.0008045052292839903
2000,OTHER,G931,4,1243,0.003218020917135961
2000,OTHER,G959,1,1243,0.0008045052292839903
2000,OTHER,K219,2,1243,0.0016090104585679806
2000,OTHER,K223,2,1243,0.0016090104585679806
2000,OTHER,K296,1,1243,0.0008045052292839903
2000,OTHER,K318,1,1243,0.0008045052292839903
2000,OTHER,K529,1,1243,0.0008045052292839903
2000,OTHER,K550,2,1243,0.0016090104585679806
2000,OTHER,K559,8,1243,0.006436041834271922
2000,OTHER,K560,2,1243,0.0016090104585679806
2000,OTHER,K563,12,1243,0.009654062751407884
2000,OTHER,K566,2,1243,0.0016090104585679806
2000,OTHER,K567,1,1243,0.0008045052292839903
2000,OTHER,K572,2,1243,0.0016090104585679806
2000,OTHER,K578,1,1243,0.0008045052292839903
2000,OTHER,K579,1,1243,0.0008045052292839903
2000,OTHER,K629,1,1243,0.0008045052292839903
2000,OTHER,K729,2,1243,0.0016090104585679806
2000,OTHER,K759,2,1243,0.0016090104585679806
2000,OTHER,K767,3,1243,0.002413515687851971
2000,OTHER,K85,28,1243,0.02252614641995173
2000,OTHER,K861,2,1243,0.0016090104585679806
2000,OTHER,L039,1,1243,0.0008045052292839903
2000,OTHER,L89,1,1243,0.0008045052292839903
2000,OTHER,M069,5,1243,0.004022526146419952
2000,OTHER,M109,1,1243,0.0008045052292839903
2000,OTHER,M199,3,1243,0.002413515687851971
2000,OTHER,M311,2,1243,0.0016090104585679806
2000,OTHER,M332,1,1243,0.0008045052292839903
2000,OTHER,M819,1,1243,0.0008045052292839903
2000,OTHER,M869,1,1243,0.0008045052292839903
2000,OTHER,N12,2,1243,0.0016090104585679806
2000,OTHER,N179,3,1243,0.002413515687851971
2000,OTHER,N180,5,1243,0.004022526146419952
2000,OTHER,N189,3,1243,0.002413515687851971
2000,OTHER,N19,5,1243,0.004022526146419952
2000,OTHER,N200,3,1243,0.002413515687851971
2000,OTHER,N390,8,1243,0.006436041834271922
2000,OTHER,N40,2,1243,0.0016090104585679806
2000,OTHER,N832,1,1243,0.0008045052292839903
2000,OTHER,Q210,1,1243,0.0008045052292839903
2000,OTHER,Q248,2,1243,0.0016090104585679806
2000,OTHER,R99,1,1243,0.0008045052292839903
2000,OTHER,Y838,1,1243,0.0008045052292839903
2001,OTHER,D571,2,1251,0.0015987210231814548
2001,OTHER,D589,2,1251,0.0015987210231814548
2001,OTHER,D591,1,1251,0.0007993605115907274
2001,OTHER,D66,1,1251,0.0007993605115907274
2001,OTHER,D689,1,1251,0.0007993605115907274
2001,OTHER,D891,1,1251,0.0007993605115907274
2001,OTHER,E039,3,1251,0.002398081534772182
2001,OTHER,E059,2,1251,0.0015987210231814548
2001,OTHER,E279,1,1251,0.0007993605115907274
2001,OTHER,E668,4,1251,0.0031974420463629096
