analysis,scenario,comparison,start_year,end_year,year,group,A_records,B_records,denominator_records,UCF,UCF_CI_lo,UCF_CI_hi,start_weight,end_weight,start_UCF,end_UCF,composition_component,selection_component,total_change,composition_total,selection_total,decomposition_residual,excluded_A_records,excluded_B_records,metric,metric_value,note
overall,primary_record_axis_K80,annual,,,2024,all_A_records,2065,1161,2065,0.5622276029055691,0.5407338595177733,0.5834902558218807,,,,,,,,,,,,,,,A=resident record-axis K80; B=A and UCD root K80; crude UCF.
entity_status,raw_entity_axis_status,annual,,,1999,Part_I_only,1215,1015,1215,0.8353909465020576,0.81348871973099,0.8551790500612878,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,1999,Part_II_only,1171,69,1171,0.05892399658411614,0.04682387095601707,0.07390855447530417,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,1999,Both,15,14,15,0.9333333333333333,0.7018347012621998,0.9881331045067316,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,1999,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,1999,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2000,Part_I_only,1204,1015,1204,0.8430232558139535,0.8213878793769863,0.86247670729359,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2000,Part_II_only,1099,49,1099,0.044585987261146494,0.03388834468374071,0.05845626025122125,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2000,Both,13,9,13,0.6923076923076923,0.42369343180549035,0.8731929634428949,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2000,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2000,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2001,Part_I_only,1269,1060,1269,0.8353033884948778,0.8138900209237837,0.854692852538292,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2001,Part_II_only,1098,60,1098,0.0546448087431694,0.04268772575420833,0.06970726340624875,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2001,Both,22,18,22,0.8181818181818182,0.6148339256287346,0.9269311541657795,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
