"panel","year","destination","estimate","lo","hi","count","code","interval_type","bootstrap_reps","simultaneous_excludes_zero"
"A/B",2003,"RESPIRATORY",0.0966813387443506,0.0796697369182785,0.113692940570423,119,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"CIRCULATORY",0.386130962202359,0.35593492897507,0.416326995429647,419,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"DIABETES_NUTRITIONAL",0.038484037704908,0.0264223988871947,0.0505456765226213,40,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"DIGESTIVE_OTHER",0.0373406884771638,0.024725467232765,0.0499559097215625,35,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"EXTERNAL",0.0246637078691895,0.0142800513683741,0.035047364370005,24,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"INFECTIOUS_PARASITIC",0.0431685226703166,0.0301588283931829,0.0561782169474503,45,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"NEOPLASMS",0.136335765826475,0.114413567740923,0.158257963912027,140,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"OTHER",0.220430083101484,0.194282380279666,0.246577785923302,237,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"OTHER_GALLBLADDER_BILIARY",0.024763220841797,0.0155328170714209,0.0339936246121731,28,NA,"pointwise annual 95% CI",NA,NA
"A/B",2004,"RESPIRATORY",0.0886830113063075,0.0708972622375946,0.10646876037502,94,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"CIRCULATORY",0.360412245739344,0.330566961579974,0.390257529898713,389,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"DIABETES_NUTRITIONAL",0.0491479624466179,0.0353169427611554,0.0629789821320803,49,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"DIGESTIVE_OTHER",0.0456270988532522,0.0318687788268592,0.0593854188796452,42,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"EXTERNAL",0.0319616549076828,0.0204445325370631,0.0434787772783026,32,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"INFECTIOUS_PARASITIC",0.0454690535971587,0.0324246403690702,0.0585134668252471,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"NEOPLASMS",0.138897567173622,0.116597446499603,0.161197687847641,139,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"OTHER",0.211768622826053,0.186059585243915,0.237477660408191,222,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"OTHER_GALLBLADDER_BILIARY",0.0177491656726304,0.00947660715774509,0.0260217241875157,18,NA,"pointwise annual 95% CI",NA,NA
"A/B",2005,"RESPIRATORY",0.0989666287836392,0.0803383462608657,0.117594911306413,108,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"CIRCULATORY",0.356163452543848,0.324974720526757,0.387352184560939,333,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"DIABETES_NUTRITIONAL",0.0377170018364095,0.0252535495915718,0.0501804540812472,35,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"DIGESTIVE_OTHER",0.0637411551254295,0.0471133675836438,0.0803689426672151,54,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"EXTERNAL",0.0303092397414833,0.0195210497896703,0.0410974296932964,31,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"INFECTIOUS_PARASITIC",0.0525540400617916,0.0375662534509066,0.0675418266726766,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"NEOPLASMS",0.133566699275241,0.11101023864313,0.156123159907353,122,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"OTHER",0.219161303606609,0.192751052311072,0.245571554902145,219,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"OTHER_GALLBLADDER_BILIARY",0.0236450224562275,0.0137629556268661,0.0335270892855888,22,NA,"pointwise annual 95% CI",NA,NA
"A/B",2006,"RESPIRATORY",0.0831420853529608,0.0646634901340637,0.101620680571858,74,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"CIRCULATORY",0.334809244219245,0.30223534051779,0.3673831479207,290,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"DIABETES_NUTRITIONAL",0.0545273352748717,0.0384559379682631,0.0705987325814803,44,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"DIGESTIVE_OTHER",0.0494260146216134,0.033606292449284,0.0652457367939429,37,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"EXTERNAL",0.0174112606340687,0.00888197021856743,0.02594055104957,16,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"INFECTIOUS_PARASITIC",0.0656313329832762,0.0480507647152934,0.083211901251259,54,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"NEOPLASMS",0.134967126955003,0.110551831472722,0.159382422437284,109,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"OTHER",0.239403172821603,0.20958405171098,0.269222293932225,208,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"OTHER_GALLBLADDER_BILIARY",0.0244714571832437,0.0133527297884838,0.0355901845780036,19,NA,"pointwise annual 95% CI",NA,NA
"A/B",2007,"RESPIRATORY",0.0793530553070752,0.0613122210610259,0.0973938895531245,73,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"CIRCULATORY",0.333527870608828,0.302450787754191,0.364604953463464,307,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"DIABETES_NUTRITIONAL",0.0458086242604333,0.0313117257684485,0.0603055227524182,39,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"DIGESTIVE_OTHER",0.0444521368890765,0.0302632806873738,0.0586409930907793,35,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"EXTERNAL",0.0323551729481029,0.020771415105173,0.0439389307910329,29,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"INFECTIOUS_PARASITIC",0.0580639699038579,0.0418950907816572,0.0742328490260585,48,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"NEOPLASMS",0.129311569618644,0.106703602688739,0.151919536548549,112,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"OTHER",0.252018348224844,0.223349384623695,0.280687311825993,235,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"OTHER_GALLBLADDER_BILIARY",0.0288169776497079,0.0177423952719452,0.0398915600274705,26,NA,"pointwise annual 95% CI",NA,NA
"A/B",2008,"RESPIRATORY",0.0756453298965055,0.0578197531175061,0.0934709066755049,67,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"CIRCULATORY",0.311286820594941,0.279889571445022,0.342684069744859,268,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"DIABETES_NUTRITIONAL",0.0368079369701194,0.0239096071557219,0.0497062667845169,31,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"DIGESTIVE_OTHER",0.0450972296577076,0.0303071648082614,0.0598872945071539,34,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"EXTERNAL",0.0267162770147469,0.0160572705539758,0.037375283475518,25,NA,"pointwise annual 95% CI",NA,NA
