"panel","year","group","code","estimate","count"
"A",2009,"RESPIRATORY",NA,0.0882323535517565,73
"A",2010,"CIRCULATORY",NA,0.321380961942009,257
"A",2010,"DIABETES_NUTRITIONAL",NA,0.029617788864824,23
"A",2010,"DIGESTIVE_OTHER",NA,0.0549868036399332,40
"A",2010,"EXTERNAL",NA,0.0324146493460931,25
"A",2010,"INFECTIOUS_PARASITIC",NA,0.0625688893309663,48
"A",2010,"NEOPLASMS",NA,0.112250880468582,84
"A",2010,"OTHER",NA,0.26689818563807,214
"A",2010,"OTHER_GALLBLADDER_BILIARY",NA,0.0285904308251523,22
"A",2010,"RESPIRATORY",NA,0.0912914099443707,73
"A",2011,"CIRCULATORY",NA,0.318655447849711,252
"A",2011,"DIABETES_NUTRITIONAL",NA,0.0384244382204811,30
"A",2011,"DIGESTIVE_OTHER",NA,0.037190339784587,31
"A",2011,"EXTERNAL",NA,0.0327014806014952,26
"A",2011,"INFECTIOUS_PARASITIC",NA,0.0720600484367106,56
"A",2011,"NEOPLASMS",NA,0.112665774397249,89
"A",2011,"OTHER",NA,0.273190908294376,228
"A",2011,"OTHER_GALLBLADDER_BILIARY",NA,0.0361812367681125,29
"A",2011,"RESPIRATORY",NA,0.0789303256472776,63
"A",2012,"CIRCULATORY",NA,0.328367755026506,241
"A",2012,"DIABETES_NUTRITIONAL",NA,0.0320537776438353,22
"A",2012,"DIGESTIVE_OTHER",NA,0.0306781462203626,23
"A",2012,"EXTERNAL",NA,0.0420324557051406,29
"A",2012,"INFECTIOUS_PARASITIC",NA,0.0685166819884409,48
"A",2012,"NEOPLASMS",NA,0.144431737304598,102
"A",2012,"OTHER",NA,0.238538085497218,175
"A",2012,"OTHER_GALLBLADDER_BILIARY",NA,0.0204259196526557,14
"A",2012,"RESPIRATORY",NA,0.0949554409612431,67
"A",2013,"CIRCULATORY",NA,0.31263930956045,237
"A",2013,"DIABETES_NUTRITIONAL",NA,0.0390402984348366,27
"A",2013,"DIGESTIVE_OTHER",NA,0.058775127213347,45
"A",2013,"EXTERNAL",NA,0.0302254730481843,26
"A",2013,"INFECTIOUS_PARASITIC",NA,0.065279631772645,47
"A",2013,"NEOPLASMS",NA,0.133269400583827,92
"A",2013,"OTHER",NA,0.258380413198239,204
"A",2013,"OTHER_GALLBLADDER_BILIARY",NA,0.0232782073228012,18
"A",2013,"RESPIRATORY",NA,0.07911213886567,57
"A",2014,"CIRCULATORY",NA,0.291401141163041,204
"A",2014,"DIABETES_NUTRITIONAL",NA,0.0373373313788445,25
"A",2014,"DIGESTIVE_OTHER",NA,0.0526332944321818,35
"A",2014,"EXTERNAL",NA,0.0370025287234727,28
"A",2014,"INFECTIOUS_PARASITIC",NA,0.0698285134283573,48
"A",2014,"NEOPLASMS",NA,0.133104965821523,89
"A",2014,"OTHER",NA,0.26610818978314,190
"A",2014,"OTHER_GALLBLADDER_BILIARY",NA,0.026528579833721,20
"A",2014,"RESPIRATORY",NA,0.0860554554357188,59
"A",2015,"CIRCULATORY",NA,0.278239254599216,196
"A",2015,"DIABETES_NUTRITIONAL",NA,0.0349097043513285,24
"A",2015,"DIGESTIVE_OTHER",NA,0.0685789725852126,44
"A",2015,"EXTERNAL",NA,0.0253289045617031,21
"A",2015,"INFECTIOUS_PARASITIC",NA,0.0588073628250449,41
"A",2015,"NEOPLASMS",NA,0.157253743451505,106
"A",2015,"OTHER",NA,0.245582713243954,171
"A",2015,"OTHER_GALLBLADDER_BILIARY",NA,0.0356866200208148,24
"A",2015,"RESPIRATORY",NA,0.0956127243612212,66
"A",2016,"CIRCULATORY",NA,0.276254549392187,194
"A",2016,"DIABETES_NUTRITIONAL",NA,0.0384279284589898,28
"A",2016,"DIGESTIVE_OTHER",NA,0.0585959731446857,43
"A",2016,"EXTERNAL",NA,0.0454669139209523,35
"A",2016,"INFECTIOUS_PARASITIC",NA,0.0583510374619621,41
"A",2016,"NEOPLASMS",NA,0.133783929926139,92
"A",2016,"OTHER",NA,0.275183201370615,198
"A",2016,"OTHER_GALLBLADDER_BILIARY",NA,0.0464732417416202,31
"A",2016,"RESPIRATORY",NA,0.0674632245828491,49
"A",2017,"CIRCULATORY",NA,0.270294751679705,187
"A",2017,"DIABETES_NUTRITIONAL",NA,0.0447248340099671,30
"A",2017,"DIGESTIVE_OTHER",NA,0.0585968323451482,38
"A",2017,"EXTERNAL",NA,0.0309139626707933,22
"A",2017,"INFECTIOUS_PARASITIC",NA,0.072769069641686,49
"A",2017,"NEOPLASMS",NA,0.143473953284936,96
"A",2017,"OTHER",NA,0.276116020670909,202
"A",2017,"OTHER_GALLBLADDER_BILIARY",NA,0.0315008098529947,24
"A",2017,"RESPIRATORY",NA,0.0716097658438609,47
"A",2018,"CIRCULATORY",NA,0.29911643898082,195
"A",2018,"DIABETES_NUTRITIONAL",NA,0.0256741321378586,17
"A",2018,"DIGESTIVE_OTHER",NA,0.039399000990443,26
"A",2018,"EXTERNAL",NA,0.0326817163254206,23
"A",2018,"INFECTIOUS_PARASITIC",NA,0.0662954501385921,42
"A",2018,"NEOPLASMS",NA,0.147377185203619,95
"A",2018,"OTHER",NA,0.275030085328845,180
"A",2018,"OTHER_GALLBLADDER_BILIARY",NA,0.0389189171484292,25
"A",2018,"RESPIRATORY",NA,0.0755070737459726,48
"A",2019,"CIRCULATORY",NA,0.274415254688229,204
"A",2019,"DIABETES_NUTRITIONAL",NA,0.0258938592159156,20
"A",2019,"DIGESTIVE_OTHER",NA,0.0625619666305142,43
"A",2019,"EXTERNAL",NA,0.0423599213369348,34
